,loan_amnt,grade,issue_d,purpose,last_pymnt_d
1097,25000,A,Dec-18,debt_consolidation,Feb-19
1098,10000,D,Dec-18,debt_consolidation,Feb-19
1099,40000,A,Dec-18,debt_consolidation,Feb-19
1100,4000,C,Dec-18,debt_consolidation,Feb-19
1101,25000,C,Dec-18,debt_consolidation,Feb-19
1102,12000,C,Dec-18,debt_consolidation,Feb-19
1103,6000,C,Dec-18,other,Feb-19
1104,9500,A,Dec-18,credit_card,Jan-19
1105,40000,B,Dec-18,debt_consolidation,Feb-19
1106,6000,B,Dec-18,vacation,Jan-19
1107,16000,A,Dec-18,credit_card,Feb-19
1108,4000,C,Dec-18,other,Feb-19
1109,1500,E,Dec-18,debt_consolidation,Feb-19
1110,2400,C,Dec-18,debt_consolidation,Feb-19
1111,7000,A,Dec-18,credit_card,Feb-19
1112,11000,A,Dec-18,debt_consolidation,Feb-19
1113,10000,B,Dec-18,debt_consolidation,Feb-19
1114,12000,B,Dec-18,credit_card,Feb-19
1115,40000,C,Dec-18,debt_consolidation,Feb-19
1116,25000,B,Dec-18,credit_card,Feb-19
1117,7500,A,Dec-18,debt_consolidation,Feb-19
1118,25000,C,Dec-18,other,Feb-19
1119,30000,A,Dec-18,debt_consolidation,Feb-19
1120,14000,B,Dec-18,credit_card,Feb-19
1121,7000,B,Dec-18,debt_consolidation,Feb-19
1122,13000,A,Dec-18,credit_card,Feb-19
1123,40000,C,Dec-18,credit_card,Feb-19
1124,15000,A,Dec-18,major_purchase,Feb-19
1125,25000,A,Dec-18,debt_consolidation,Feb-19
1126,10000,B,Dec-18,credit_card,Feb-19
1127,35000,B,Dec-18,debt_consolidation,Feb-19
1128,16000,C,Dec-18,debt_consolidation,Feb-19
1129,4800,A,Dec-18,debt_consolidation,Feb-19
1130,22900,E,Dec-18,debt_consolidation,Feb-19
1131,20000,A,Dec-18,credit_card,Feb-19
1132,10000,A,Dec-18,debt_consolidation,Feb-19
1133,24000,A,Dec-18,credit_card,Feb-19
1134,40000,A,Dec-18,debt_consolidation,Feb-19
1135,16000,B,Dec-18,home_improvement,Feb-19
1136,6000,C,Dec-18,credit_card,Feb-19
1137,18000,A,Dec-18,credit_card,Feb-19
1138,34000,A,Dec-18,moving,Feb-19
1139,5000,C,Dec-18,credit_card,Feb-19
1140,1000,E,Dec-18,debt_consolidation,Feb-19
1141,10000,C,Dec-18,debt_consolidation,Feb-19
1142,4300,A,Dec-18,debt_consolidation,Feb-19
1143,16000,B,Dec-18,debt_consolidation,Feb-19
1144,4000,A,Dec-18,home_improvement,Feb-19
1145,30000,B,Dec-18,debt_consolidation,Feb-19
1146,2825,E,Dec-18,credit_card,Feb-19
1147,18000,A,Dec-18,credit_card,Feb-19
1148,7000,E,Dec-18,small_business,Feb-19
1149,20000,C,Dec-18,credit_card,Feb-19
1150,16875,D,Dec-18,debt_consolidation,Feb-19
1151,6000,A,Dec-18,debt_consolidation,Feb-19
1152,12000,B,Dec-18,debt_consolidation,Feb-19
1153,15000,B,Dec-18,debt_consolidation,Feb-19
1154,10000,B,Dec-18,debt_consolidation,Feb-19
1155,5500,A,Dec-18,credit_card,Feb-19
1156,21000,B,Dec-18,debt_consolidation,Feb-19
1157,9600,B,Dec-18,credit_card,Feb-19
1158,12000,A,Dec-18,debt_consolidation,Feb-19
1159,6000,C,Dec-18,medical,Feb-19
1160,8000,B,Dec-18,other,Feb-19
1161,3600,C,Dec-18,credit_card,Feb-19
1162,10000,B,Dec-18,credit_card,Feb-19
1163,8000,A,Dec-18,credit_card,Feb-19
1164,19000,C,Dec-18,debt_consolidation,Feb-19
1165,15000,D,Dec-18,house,Feb-19
1166,14000,B,Dec-18,debt_consolidation,Feb-19
1167,20000,A,Dec-18,debt_consolidation,Feb-19
1168,21000,C,Dec-18,debt_consolidation,Feb-19
1169,32000,A,Dec-18,debt_consolidation,Feb-19
1170,16000,A,Dec-18,credit_card,Feb-19
1171,17000,C,Dec-18,credit_card,Feb-19
1172,36000,B,Dec-18,debt_consolidation,Feb-19
1173,16000,B,Dec-18,home_improvement,Feb-19
1174,26000,A,Dec-18,credit_card,Feb-19
1175,14400,A,Dec-18,debt_consolidation,Feb-19
1176,28000,C,Dec-18,debt_consolidation,Feb-19
1177,8000,A,Dec-18,debt_consolidation,Feb-19
1178,10000,A,Dec-18,credit_card,Feb-19
1179,11000,B,Dec-18,credit_card,Feb-19
1180,22000,C,Dec-18,debt_consolidation,Feb-19
1181,2200,A,Dec-18,credit_card,Feb-19
1182,25000,A,Dec-18,credit_card,Feb-19
1183,18000,B,Dec-18,debt_consolidation,Feb-19
1184,28000,A,Dec-18,debt_consolidation,Feb-19
1185,24000,B,Dec-18,debt_consolidation,Feb-19
1186,15000,D,Dec-18,other,Feb-19
1187,25000,D,Dec-18,credit_card,Feb-19
1188,11000,A,Dec-18,debt_consolidation,Feb-19
1189,30000,A,Dec-18,credit_card,Feb-19
1190,30000,C,Dec-18,debt_consolidation,Feb-19
1191,16000,A,Dec-18,credit_card,Feb-19
1192,13000,D,Dec-18,car,Feb-19
1193,37000,A,Dec-18,debt_consolidation,Feb-19
1194,5000,C,Dec-18,credit_card,Feb-19
1195,6000,A,Dec-18,credit_card,Feb-19
1196,22000,C,Dec-18,debt_consolidation,Feb-19
1197,5000,A,Dec-18,debt_consolidation,Feb-19
1198,7200,B,Dec-18,debt_consolidation,Feb-19
1199,16000,B,Dec-18,credit_card,Feb-19
1200,11000,C,Dec-18,debt_consolidation,Feb-19
1201,40000,B,Dec-18,credit_card,Feb-19
1202,15000,A,Dec-18,credit_card,Feb-19
1203,4000,A,Dec-18,car,Feb-19
1204,20000,C,Dec-18,credit_card,Feb-19
1205,15000,A,Dec-18,debt_consolidation,Feb-19
1206,10000,B,Dec-18,debt_consolidation,Feb-19
1207,12000,D,Dec-18,other,Feb-19
1208,18000,A,Dec-18,debt_consolidation,Feb-19
1209,25000,C,Dec-18,credit_card,Feb-19
1210,8000,B,Dec-18,debt_consolidation,Feb-19
1211,40000,B,Dec-18,debt_consolidation,Feb-19
1212,17600,B,Dec-18,debt_consolidation,Feb-19
1213,6000,D,Dec-18,major_purchase,Feb-19
1214,20000,B,Dec-18,home_improvement,Feb-19
1215,40000,A,Dec-18,credit_card,Feb-19
1216,32000,A,Dec-18,debt_consolidation,Feb-19
1217,6500,E,Dec-18,debt_consolidation,Feb-19
1218,22000,A,Dec-18,debt_consolidation,Feb-19
1219,10000,D,Dec-18,debt_consolidation,Feb-19
1220,16500,B,Dec-18,debt_consolidation,Feb-19
1221,23000,B,Dec-18,debt_consolidation,Feb-19
1222,25000,B,Dec-18,credit_card,Feb-19
1223,16500,B,Dec-18,debt_consolidation,Feb-19
1224,9000,B,Dec-18,debt_consolidation,Jan-19
1225,22000,D,Dec-18,debt_consolidation,Feb-19
1226,3500,B,Dec-18,credit_card,Feb-19
1227,6000,B,Dec-18,debt_consolidation,Feb-19
1228,12000,B,Dec-18,credit_card,Feb-19
1229,8500,A,Dec-18,home_improvement,Feb-19
1230,28000,C,Dec-18,debt_consolidation,Feb-19
1231,40000,B,Dec-18,other,Feb-19
1232,35000,D,Dec-18,debt_consolidation,Feb-19
1233,10000,A,Dec-18,debt_consolidation,Feb-19
1234,20000,C,Dec-18,debt_consolidation,Feb-19
1235,20000,A,Dec-18,debt_consolidation,Feb-19
1236,12500,D,Dec-18,debt_consolidation,Feb-19
1237,5000,A,Dec-18,credit_card,Feb-19
1238,35000,B,Dec-18,debt_consolidation,Feb-19
1239,13000,C,Dec-18,credit_card,Feb-19
1240,10000,A,Dec-18,credit_card,Feb-19
1241,10000,C,Dec-18,debt_consolidation,Feb-19
1242,10000,D,Dec-18,house,Feb-19
1243,12000,C,Dec-18,debt_consolidation,Feb-19
1244,25425,C,Dec-18,debt_consolidation,Feb-19
1245,5000,A,Dec-18,credit_card,Feb-19
1246,5000,B,Dec-18,credit_card,Feb-19
1247,12000,A,Dec-18,debt_consolidation,Feb-19
1248,8000,A,Dec-18,credit_card,Feb-19
1249,21000,B,Dec-18,car,Feb-19
1250,5000,A,Dec-18,home_improvement,Feb-19
1251,18000,C,Dec-18,debt_consolidation,Feb-19
1252,20000,A,Dec-18,debt_consolidation,Feb-19
1253,5000,A,Dec-18,debt_consolidation,Feb-19
1254,25000,B,Dec-18,credit_card,Feb-19
1255,3600,D,Dec-18,medical,Feb-19
1256,20000,B,Dec-18,credit_card,Feb-19
1257,2400,A,Dec-18,debt_consolidation,Feb-19
1258,8000,B,Dec-18,debt_consolidation,Feb-19
1259,18000,A,Dec-18,debt_consolidation,Feb-19
1260,15000,A,Dec-18,credit_card,Feb-19
1261,10000,A,Dec-18,debt_consolidation,Feb-19
1262,30000,B,Dec-18,debt_consolidation,Feb-19
1263,36000,B,Dec-18,debt_consolidation,Feb-19
1264,6000,A,Dec-18,home_improvement,Feb-19
1265,12325,E,Dec-18,other,Feb-19
1266,10000,C,Dec-18,debt_consolidation,Feb-19
1267,24000,C,Dec-18,debt_consolidation,Feb-19
1268,34000,B,Dec-18,debt_consolidation,Feb-19
1269,36000,A,Dec-18,credit_card,Feb-19
1270,25000,B,Dec-18,credit_card,Feb-19
1271,7200,A,Dec-18,credit_card,Feb-19
1272,10000,A,Dec-18,debt_consolidation,Feb-19
1273,21800,E,Dec-18,debt_consolidation,Feb-19
1274,12000,C,Dec-18,debt_consolidation,Feb-19
1275,15000,B,Dec-18,debt_consolidation,Feb-19
1276,3000,A,Dec-18,home_improvement,Feb-19
1277,10000,B,Dec-18,credit_card,Feb-19
1278,5000,C,Dec-18,other,Feb-19
1279,6500,A,Dec-18,debt_consolidation,Feb-19
1280,30000,D,Dec-18,debt_consolidation,Feb-19
1281,10000,A,Dec-18,debt_consolidation,Feb-19
1282,8000,B,Dec-18,debt_consolidation,Feb-19
1283,18000,B,Dec-18,debt_consolidation,Feb-19
1284,3000,D,Dec-18,debt_consolidation,Feb-19
1285,2500,A,Dec-18,debt_consolidation,Feb-19
1286,10000,C,Dec-18,other,Feb-19
1287,11200,B,Dec-18,other,Feb-19
1288,19000,A,Dec-18,other,Feb-19
1289,30000,A,Dec-18,debt_consolidation,Feb-19
1290,12000,A,Dec-18,credit_card,Feb-19
1291,30000,D,Dec-18,debt_consolidation,Feb-19
1292,12500,D,Dec-18,credit_card,Feb-19
1293,12000,E,Dec-18,medical,Feb-19
1294,16000,B,Dec-18,debt_consolidation,Feb-19
1295,27000,C,Dec-18,credit_card,Feb-19
1296,12000,A,Dec-18,credit_card,Feb-19
1297,8000,C,Dec-18,credit_card,Feb-19
1298,15000,C,Dec-18,debt_consolidation,Feb-19
1299,15000,B,Dec-18,debt_consolidation,Feb-19
1300,40000,C,Dec-18,debt_consolidation,Feb-19
1301,1000,E,Dec-18,major_purchase,Feb-19
1302,9000,A,Dec-18,debt_consolidation,Feb-19
1303,25000,A,Dec-18,credit_card,Feb-19
1304,15000,A,Dec-18,debt_consolidation,Feb-19
1305,5000,B,Dec-18,home_improvement,Feb-19
1306,14000,B,Dec-18,credit_card,Feb-19
1307,15000,A,Dec-18,debt_consolidation,Feb-19
1308,3000,E,Dec-18,debt_consolidation,Feb-19
1309,20000,B,Dec-18,debt_consolidation,Feb-19
1310,8500,A,Dec-18,debt_consolidation,Feb-19
1311,4000,B,Dec-18,credit_card,Feb-19
1312,31000,A,Dec-18,debt_consolidation,Feb-19
1313,10000,A,Dec-18,credit_card,Feb-19
1314,13000,C,Dec-18,debt_consolidation,Feb-19
1315,10000,D,Dec-18,credit_card,Feb-19
1316,16000,A,Dec-18,debt_consolidation,Feb-19
1317,8000,C,Dec-18,credit_card,Feb-19
1318,12000,C,Dec-18,credit_card,Feb-19
1319,12000,E,Dec-18,debt_consolidation,Feb-19
1320,40000,C,Dec-18,debt_consolidation,Feb-19
1321,35000,A,Dec-18,debt_consolidation,Feb-19
1322,18000,C,Dec-18,debt_consolidation,Feb-19
1323,20000,C,Dec-18,debt_consolidation,Feb-19
1324,35000,A,Dec-18,debt_consolidation,Feb-19
1325,27000,B,Dec-18,debt_consolidation,Feb-19
1326,8000,A,Dec-18,debt_consolidation,Feb-19
1327,30000,A,Dec-18,debt_consolidation,Feb-19
1328,3000,B,Dec-18,debt_consolidation,Feb-19
1329,11350,A,Dec-18,credit_card,Feb-19
1330,17000,A,Dec-18,credit_card,Feb-19
1331,5000,A,Dec-18,credit_card,Feb-19
1332,4200,A,Dec-18,credit_card,Feb-19
1333,6000,A,Dec-18,credit_card,Feb-19
1334,20000,C,Dec-18,credit_card,Feb-19
1335,10000,B,Dec-18,debt_consolidation,Feb-19
1336,4000,A,Dec-18,credit_card,Feb-19
1337,5000,A,Dec-18,credit_card,Feb-19
1338,10000,B,Dec-18,credit_card,Feb-19
1339,17000,C,Dec-18,debt_consolidation,Feb-19
1340,13000,A,Dec-18,debt_consolidation,Feb-19
1341,27000,A,Dec-18,debt_consolidation,Feb-19
1342,16000,C,Dec-18,debt_consolidation,Feb-19
1343,8000,A,Dec-18,debt_consolidation,Feb-19
1344,9925,C,Dec-18,debt_consolidation,Feb-19
1345,2500,B,Dec-18,medical,Feb-19
1346,12000,B,Dec-18,debt_consolidation,Feb-19
1347,5000,C,Dec-18,house,Feb-19
1348,10000,A,Dec-18,credit_card,Feb-19
1349,13000,A,Dec-18,debt_consolidation,Feb-19
1350,17000,A,Dec-18,credit_card,Feb-19
1351,17000,A,Dec-18,credit_card,Feb-19
1352,20000,C,Dec-18,credit_card,Feb-19
1353,10000,B,Dec-18,debt_consolidation,Feb-19
1354,40000,A,Dec-18,debt_consolidation,Feb-19
1355,10000,B,Dec-18,small_business,Feb-19
1356,24000,A,Dec-18,credit_card,Feb-19
1357,19000,B,Dec-18,credit_card,Feb-19
1358,26000,B,Dec-18,debt_consolidation,Feb-19
1359,15000,C,Dec-18,debt_consolidation,Feb-19
1360,25000,A,Dec-18,debt_consolidation,Feb-19
1361,10000,C,Dec-18,credit_card,Feb-19
1362,2500,B,Dec-18,car,Feb-19
1363,26000,A,Dec-18,credit_card,Feb-19
1364,19000,B,Dec-18,debt_consolidation,Feb-19
1365,5000,C,Dec-18,other,Feb-19
1366,25000,A,Dec-18,debt_consolidation,Feb-19
1367,17600,A,Dec-18,credit_card,Feb-19
1368,10000,C,Dec-18,debt_consolidation,Feb-19
1369,14000,C,Dec-18,debt_consolidation,Feb-19
1370,14000,C,Dec-18,debt_consolidation,Feb-19
1371,35000,B,Dec-18,other,Feb-19
1372,12600,A,Dec-18,debt_consolidation,Feb-19
1373,10000,E,Dec-18,debt_consolidation,Feb-19
1374,8425,A,Dec-18,debt_consolidation,Feb-19
1375,15000,A,Dec-18,credit_card,Feb-19
1376,8000,B,Dec-18,debt_consolidation,Feb-19
1377,5000,A,Dec-18,credit_card,Feb-19
1378,20000,B,Dec-18,credit_card,Feb-19
1379,4000,B,Dec-18,credit_card,Feb-19
1380,8500,D,Dec-18,debt_consolidation,Feb-19
1381,13000,A,Dec-18,debt_consolidation,Feb-19
1382,1500,E,Dec-18,other,Feb-19
1383,19000,B,Dec-18,debt_consolidation,Feb-19
1384,10000,A,Dec-18,credit_card,Feb-19
1385,3450,C,Dec-18,other,Feb-19
1386,32000,B,Dec-18,debt_consolidation,Feb-19
1387,14500,B,Dec-18,other,Feb-19
1388,40000,C,Dec-18,debt_consolidation,Feb-19
1389,35000,C,Dec-18,other,Feb-19
1390,10000,C,Dec-18,other,Feb-19
1391,35000,D,Dec-18,credit_card,Feb-19
1392,10200,C,Dec-18,credit_card,Feb-19
1393,12000,C,Dec-18,credit_card,Feb-19
1394,15500,C,Dec-18,debt_consolidation,Feb-19
1395,12000,B,Dec-18,debt_consolidation,Feb-19
1396,15000,A,Dec-18,credit_card,Feb-19
1397,20000,A,Dec-18,debt_consolidation,Feb-19
1398,15000,B,Dec-18,debt_consolidation,Feb-19
1399,40000,B,Dec-18,debt_consolidation,Feb-19
1400,1500,A,Dec-18,medical,Feb-19
1401,10000,A,Dec-18,home_improvement,Feb-19
1402,12000,A,Dec-18,credit_card,Feb-19
1403,34450,C,Dec-18,debt_consolidation,Feb-19
1404,25000,B,Dec-18,home_improvement,Feb-19
1405,12000,E,Dec-18,debt_consolidation,Feb-19
1406,7000,A,Dec-18,home_improvement,Feb-19
1407,6000,B,Dec-18,other,Feb-19
1408,10000,B,Dec-18,debt_consolidation,Feb-19
1409,10000,A,Dec-18,credit_card,Feb-19
1410,8500,C,Dec-18,debt_consolidation,Feb-19
1411,27000,B,Dec-18,debt_consolidation,Feb-19
1412,34750,C,Dec-18,home_improvement,Feb-19
1413,12500,E,Dec-18,debt_consolidation,Feb-19
1414,25000,C,Dec-18,debt_consolidation,Feb-19
1415,9600,C,Dec-18,debt_consolidation,Feb-19
1416,6000,A,Dec-18,credit_card,Feb-19
1417,28000,A,Dec-18,credit_card,Feb-19
1418,32000,A,Dec-18,debt_consolidation,Feb-19
1419,13000,A,Dec-18,debt_consolidation,Feb-19
1420,15000,C,Dec-18,other,Feb-19
1421,6000,B,Dec-18,credit_card,Jan-19
1422,10500,A,Dec-18,debt_consolidation,Feb-19
1423,6000,B,Dec-18,credit_card,Feb-19
1424,12000,C,Dec-18,debt_consolidation,Feb-19
1425,15000,A,Dec-18,debt_consolidation,Feb-19
1426,3500,D,Dec-18,major_purchase,Feb-19
1427,20000,A,Dec-18,debt_consolidation,Feb-19
1428,1000,E,Dec-18,other,Feb-19
1429,5000,C,Dec-18,debt_consolidation,Feb-19
1430,2100,C,Dec-18,other,Feb-19
1431,15000,C,Dec-18,debt_consolidation,Feb-19
1432,2000,A,Dec-18,credit_card,Feb-19
1433,2400,A,Dec-18,home_improvement,Feb-19
1434,21000,C,Dec-18,debt_consolidation,Feb-19
1435,10000,A,Dec-18,debt_consolidation,Feb-19
1436,8000,A,Dec-18,credit_card,Feb-19
1437,36000,A,Dec-18,credit_card,Feb-19
1438,15000,A,Dec-18,debt_consolidation,Feb-19
1439,3600,A,Dec-18,home_improvement,Feb-19
1440,12000,A,Dec-18,credit_card,Feb-19
1441,18000,D,Dec-18,debt_consolidation,Feb-19
1442,10000,B,Dec-18,debt_consolidation,Feb-19
1443,40000,A,Dec-18,debt_consolidation,Feb-19
1444,14500,B,Dec-18,credit_card,Feb-19
1445,35000,C,Dec-18,credit_card,Feb-19
1446,1000,B,Dec-18,debt_consolidation,Feb-19
1447,4000,D,Dec-18,debt_consolidation,Feb-19
1448,18500,C,Dec-18,credit_card,Feb-19
1449,15200,A,Dec-18,debt_consolidation,Feb-19
1450,3000,B,Dec-18,credit_card,Feb-19
1451,25000,B,Dec-18,credit_card,Feb-19
1452,10000,A,Dec-18,credit_card,Feb-19
1453,35000,C,Dec-18,small_business,Feb-19
1454,20000,B,Dec-18,other,Feb-19
1455,7000,A,Dec-18,debt_consolidation,Feb-19
1456,7200,A,Dec-18,debt_consolidation,Feb-19
1457,12000,A,Dec-18,debt_consolidation,Feb-19
1458,10000,B,Dec-18,credit_card,Jan-19
1459,30000,A,Dec-18,debt_consolidation,Feb-19
1460,22000,D,Dec-18,home_improvement,Feb-19
1461,5000,B,Dec-18,other,Feb-19
1462,40000,B,Dec-18,major_purchase,Feb-19
1463,14000,A,Dec-18,debt_consolidation,Feb-19
1464,30000,B,Dec-18,debt_consolidation,Feb-19
1465,28500,C,Dec-18,debt_consolidation,Feb-19
1466,13500,B,Dec-18,other,Feb-19
1467,3000,B,Dec-18,credit_card,Feb-19
1468,4000,A,Dec-18,debt_consolidation,Feb-19
1469,9000,D,Dec-18,medical,Jan-19
1470,5000,B,Dec-18,home_improvement,Feb-19
1471,7000,A,Dec-18,debt_consolidation,Feb-19
1472,11600,A,Dec-18,credit_card,Feb-19
1473,7500,C,Dec-18,credit_card,Feb-19
1474,6250,C,Dec-18,debt_consolidation,Feb-19
1475,10000,D,Dec-18,debt_consolidation,Feb-19
1476,30000,B,Dec-18,debt_consolidation,Feb-19
1477,5500,D,Dec-18,credit_card,Feb-19
1478,30000,A,Dec-18,credit_card,Feb-19
1479,8000,B,Dec-18,debt_consolidation,Feb-19
1480,15000,B,Dec-18,debt_consolidation,Feb-19
1481,35375,B,Dec-18,debt_consolidation,Feb-19
1482,24000,C,Dec-18,debt_consolidation,Feb-19
1483,6000,C,Dec-18,home_improvement,Feb-19
1484,30000,B,Dec-18,debt_consolidation,Feb-19
1485,17000,B,Dec-18,credit_card,Feb-19
1486,24000,B,Dec-18,credit_card,Feb-19
1487,23400,C,Dec-18,credit_card,Feb-19
1488,30000,D,Dec-18,credit_card,Feb-19
1489,12000,B,Dec-18,debt_consolidation,Feb-19
1490,36000,C,Dec-18,major_purchase,Feb-19
1491,11000,D,Dec-18,vacation,Feb-19
1492,10000,A,Dec-18,debt_consolidation,Jan-19
1493,4500,C,Dec-18,debt_consolidation,Feb-19
1494,20000,E,Dec-18,debt_consolidation,Feb-19
1495,12000,D,Dec-18,home_improvement,Feb-19
1496,3300,E,Dec-18,credit_card,Feb-19
1497,7000,D,Dec-18,debt_consolidation,Feb-19
1498,5000,A,Dec-18,debt_consolidation,Feb-19
1499,21250,C,Dec-18,credit_card,Feb-19
1500,4800,D,Dec-18,other,Feb-19
1501,30000,B,Dec-18,debt_consolidation,Feb-19
1502,21000,A,Dec-18,debt_consolidation,Feb-19
1503,5300,B,Dec-18,major_purchase,Feb-19
1504,16000,B,Dec-18,debt_consolidation,Feb-19
1505,24000,C,Dec-18,debt_consolidation,Feb-19
1506,20000,D,Dec-18,debt_consolidation,Feb-19
1507,12000,C,Dec-18,house,Feb-19
1508,12000,B,Dec-18,debt_consolidation,Feb-19
1509,30000,B,Dec-18,debt_consolidation,Feb-19
1510,9000,D,Dec-18,debt_consolidation,Feb-19
1511,16000,D,Dec-18,home_improvement,Feb-19
1512,3000,B,Dec-18,credit_card,Feb-19
1513,31200,A,Dec-18,home_improvement,Feb-19
1514,10000,C,Dec-18,credit_card,Feb-19
1515,8000,A,Dec-18,debt_consolidation,Feb-19
1516,15000,A,Dec-18,other,Feb-19
1517,5000,A,Dec-18,credit_card,Feb-19
1518,16000,C,Dec-18,credit_card,Feb-19
1519,5000,A,Dec-18,home_improvement,Feb-19
1520,6600,C,Dec-18,debt_consolidation,Feb-19
1521,15000,C,Dec-18,debt_consolidation,Feb-19
1522,9000,A,Dec-18,debt_consolidation,Feb-19
1523,15000,B,Dec-18,debt_consolidation,Feb-19
1524,3500,B,Dec-18,other,Feb-19
1525,16000,C,Dec-18,debt_consolidation,Feb-19
1526,22000,A,Dec-18,debt_consolidation,Feb-19
1527,10000,C,Dec-18,debt_consolidation,Jan-19
1528,5000,D,Dec-18,credit_card,Feb-19
1529,15000,A,Dec-18,debt_consolidation,Feb-19
1530,18000,A,Dec-18,debt_consolidation,Feb-19
1531,1200,A,Dec-18,home_improvement,Feb-19
1532,10000,C,Dec-18,other,Feb-19
1533,12000,A,Dec-18,credit_card,Feb-19
1534,9000,B,Dec-18,debt_consolidation,Feb-19
1535,11000,B,Dec-18,credit_card,Feb-19
1536,2500,D,Dec-18,credit_card,Feb-19
1537,30000,D,Dec-18,home_improvement,Feb-19
1538,2500,D,Dec-18,debt_consolidation,Feb-19
1539,4000,A,Dec-18,credit_card,Feb-19
1540,18000,E,Dec-18,car,Feb-19
1541,8000,C,Dec-18,other,Feb-19
1542,15000,B,Dec-18,credit_card,Feb-19
1543,13000,A,Dec-18,credit_card,Feb-19
1544,10000,C,Dec-18,debt_consolidation,Feb-19
1545,15000,E,Dec-18,debt_consolidation,Feb-19
1546,10000,A,Dec-18,debt_consolidation,Feb-19
1547,8500,A,Dec-18,credit_card,Feb-19
1548,3000,C,Dec-18,other,Feb-19
1549,30000,B,Dec-18,debt_consolidation,Feb-19
1550,19000,D,Dec-18,credit_card,Feb-19
1551,12000,A,Dec-18,credit_card,Feb-19
1552,8000,B,Dec-18,debt_consolidation,Feb-19
1553,5000,C,Dec-18,medical,Feb-19
1554,40000,B,Dec-18,debt_consolidation,Feb-19
1555,20000,A,Dec-18,debt_consolidation,Feb-19
1556,20000,A,Dec-18,credit_card,Feb-19
1557,20000,C,Dec-18,credit_card,Feb-19
1558,40000,B,Dec-18,house,Feb-19
1559,25000,C,Dec-18,debt_consolidation,Feb-19
1560,12000,C,Dec-18,debt_consolidation,Feb-19
1561,10000,B,Dec-18,credit_card,Feb-19
1562,7000,B,Dec-18,debt_consolidation,Feb-19
1563,5000,B,Dec-18,car,Feb-19
1564,5000,C,Dec-18,debt_consolidation,Feb-19
1565,38500,A,Dec-18,debt_consolidation,Feb-19
1566,12000,A,Dec-18,credit_card,Feb-19
1567,22000,D,Dec-18,credit_card,Feb-19
1568,4000,A,Dec-18,home_improvement,Feb-19
1569,22000,C,Dec-18,debt_consolidation,Feb-19
1570,10000,C,Dec-18,other,Feb-19
1571,40000,E,Dec-18,debt_consolidation,Feb-19
1572,8500,B,Dec-18,debt_consolidation,Feb-19
1573,24000,C,Dec-18,debt_consolidation,Feb-19
1574,20000,B,Dec-18,debt_consolidation,Feb-19
1575,10000,A,Dec-18,debt_consolidation,Feb-19
1576,6400,C,Dec-18,debt_consolidation,Feb-19
1577,24000,A,Dec-18,debt_consolidation,Feb-19
1578,4000,A,Dec-18,credit_card,Feb-19
1579,25000,E,Dec-18,credit_card,Feb-19
1580,4400,A,Dec-18,debt_consolidation,Feb-19
1581,28000,B,Dec-18,credit_card,Feb-19
1582,14700,D,Dec-18,debt_consolidation,Feb-19
1583,37900,A,Dec-18,credit_card,Feb-19
1584,5000,D,Dec-18,credit_card,Feb-19
1585,30000,C,Dec-18,debt_consolidation,Feb-19
1586,12000,D,Dec-18,debt_consolidation,Feb-19
1587,13000,C,Dec-18,debt_consolidation,Feb-19
1588,12000,C,Dec-18,credit_card,Feb-19
1589,25000,C,Dec-18,other,Feb-19
1590,20000,A,Dec-18,debt_consolidation,Feb-19
1591,25000,D,Dec-18,debt_consolidation,Feb-19
1592,10000,A,Dec-18,debt_consolidation,Feb-19
1593,10000,A,Dec-18,credit_card,Feb-19
1594,10000,B,Dec-18,credit_card,Feb-19
1595,35000,C,Dec-18,credit_card,Feb-19
1596,3000,B,Dec-18,credit_card,Feb-19
1597,31200,C,Dec-18,debt_consolidation,Feb-19
1598,11200,B,Dec-18,credit_card,Feb-19
1599,20000,C,Dec-18,debt_consolidation,Feb-19
1600,30000,B,Dec-18,debt_consolidation,Feb-19
1601,13000,A,Dec-18,credit_card,Feb-19
1602,5000,E,Dec-18,other,Feb-19
1603,40000,C,Dec-18,debt_consolidation,Feb-19
1604,31500,B,Dec-18,debt_consolidation,Feb-19
1605,35000,C,Dec-18,debt_consolidation,Feb-19
1606,4100,E,Dec-18,home_improvement,Feb-19
1607,35000,C,Dec-18,credit_card,Feb-19
1608,4000,A,Dec-18,credit_card,Feb-19
1609,8500,C,Dec-18,other,Feb-19
1610,6500,B,Dec-18,small_business,Feb-19
1611,20000,C,Dec-18,debt_consolidation,Feb-19
1612,1400,A,Dec-18,car,Feb-19
1613,20000,B,Dec-18,debt_consolidation,Feb-19
1614,26600,C,Dec-18,debt_consolidation,Feb-19
1615,16000,A,Dec-18,debt_consolidation,Feb-19
1616,5575,B,Dec-18,car,Feb-19
1617,19000,A,Dec-18,home_improvement,Feb-19
1618,33600,D,Dec-18,credit_card,Feb-19
1619,7200,A,Dec-18,credit_card,Feb-19
1620,12000,C,Dec-18,debt_consolidation,Feb-19
1621,30000,D,Dec-18,credit_card,Feb-19
1622,22000,B,Dec-18,debt_consolidation,Feb-19
1623,8500,C,Dec-18,debt_consolidation,Feb-19
1624,15000,C,Dec-18,debt_consolidation,Feb-19
1625,3200,C,Dec-18,car,Feb-19
1626,13000,A,Dec-18,credit_card,Feb-19
1627,4000,D,Dec-18,debt_consolidation,Feb-19
